TS      Day   Newton   INJ1:BHP    INJ1:RATE0    INJ1:RATE1   INJ2:BHP    INJ2:RATE0    INJ2:RATE1   INJ3:BHP    INJ3:RATE0    INJ3:RATE1   INJ4:BHP    INJ4:RATE0    INJ4:RATE1   INJ5:BHP    INJ5:RATE0    INJ5:RATE1   INJ6:BHP    INJ6:RATE0    INJ6:RATE1   INJ7:BHP    INJ7:RATE0    INJ7:RATE1   INJ8:BHP    INJ8:RATE0    INJ8:RATE1   PRD1:BHP    PRD1:RATE0    PRD1:RATE1   PRD2:BHP    PRD2:RATE0    PRD2:RATE1   PRD3:BHP    PRD3:RATE0    PRD3:RATE1   PRD4:BHP    PRD4:RATE0    PRD4:RATE1
91      2610        2    404.351         -79.5            -0    401.182         -79.5            -0    403.342         -79.5            -0    402.432         -79.5            -0    400.845         -79.5            -0    404.031         -79.5            -0    403.535         -79.5            -0    404.281         -79.5            -0        395       133.384       3.39002        395       302.233       14.2881        395       72.6773       4.22838        395       101.664       4.03174
92      2640        3    404.313         -79.5            -0    401.154         -79.5            -0    403.304         -79.5            -0    402.399         -79.5            -0    400.815         -79.5            -0     403.99         -79.5            -0    403.497         -79.5            -0    404.241         -79.5            -0        395       133.338        3.3414        395       302.606       14.0246        395       72.7791       4.15801        395       101.685       3.96602
93      2670        3    404.275         -79.5            -0    401.127         -79.5            -0    403.267         -79.5            -0    402.366         -79.5            -0    400.787         -79.5            -0     403.95         -79.5            -0     403.46         -79.5            -0    404.201         -79.5            -0        395       133.291       3.29392        395       302.978       13.7679        395       72.8759       4.08923        395       101.702       3.90286
94      2700        2    404.238         -79.5            -0    401.101         -79.5            -0    403.231         -79.5            -0    402.334         -79.5            -0    400.758         -79.5            -0    403.911         -79.5            -0    403.423         -79.5            -0    404.162         -79.5            -0        395       133.243       3.24761        395       303.347       13.5176        395       72.9686       4.02215        395       101.715       3.84179
95      2730        2    404.202         -79.5            -0    401.075         -79.5            -0    403.195         -79.5            -0    402.303         -79.5            -0     400.73         -79.5            -0    403.873         -79.5            -0    403.388         -79.5            -0    404.124         -79.5            -0        395       133.196       3.20267        395       303.713       13.2733        395       73.0573       3.95645        395       101.723       3.78262
96      2760        3    404.166         -79.5            -0     401.05         -79.5            -0     403.16         -79.5            -0    402.272         -79.5            -0    400.702         -79.5            -0    403.836         -79.5            -0    403.353         -79.5            -0    404.087         -79.5            -0        395       133.149       3.15948        395       304.085       13.0353        395       73.1387       3.89226        395       101.721        3.7252
97      2790        3     404.13         -79.5            -0    401.024         -79.5            -0    403.125         -79.5            -0    402.241         -79.5            -0    400.675         -79.5            -0    403.798         -79.5            -0    403.318         -79.5            -0     404.05         -79.5            -0        395       133.099       3.11709        395        304.46       12.8062        395       73.2143       3.82948        395       101.711       3.66947
98      2820        2    404.095         -79.5            -0    400.999         -79.5            -0    403.091         -79.5            -0    402.211         -79.5            -0    400.648         -79.5            -0    403.762         -79.5            -0    403.284         -79.5            -0    404.013         -79.5            -0        395       133.048       3.07571        395       304.826       12.5833        395       73.2843       3.76812        395       101.707       3.61582
99      2850        2    404.061         -79.5            -0    400.974         -79.5            -0    403.057         -79.5            -0    402.181         -79.5            -0    400.621         -79.5            -0    403.726         -79.5            -0    403.251         -79.5            -0    403.978         -79.5            -0        395       132.998       3.03548        395       305.183       12.3658        395       73.3499       3.70835        395       101.706       3.56379
100      2880        2    404.028         -79.5            -0     400.95         -79.5            -0    403.025         -79.5            -0    402.153         -79.5            -0    400.595         -79.5            -0    403.691         -79.5            -0    403.218         -79.5            -0    403.942         -79.5            -0        395       132.946       2.99615        395       305.532       12.1541        395       73.4171       3.65154        395       101.701        3.5131
101      2910        2    403.995         -79.5            -0    400.926         -79.5            -0    402.992         -79.5            -0    402.124         -79.5            -0    400.569         -79.5            -0    403.657         -79.5            -0    403.186         -79.5            -0    403.908         -79.5            -0        395       132.896        2.9577        395       305.873        11.948        395       73.4828       3.59649        395       101.694       3.46393
102      2940        2    403.963         -79.5            -0    400.903         -79.5            -0    402.961         -79.5            -0    402.096         -79.5            -0    400.543         -79.5            -0    403.623         -79.5            -0    403.155         -79.5            -0    403.874         -79.5            -0        395       132.843       2.91985        395       306.222        11.748        395       73.5425       3.54263        395        101.68       3.41603
103      2970        2    403.931         -79.5            -0    400.879         -79.5            -0    402.929         -79.5            -0    402.069         -79.5            -0    400.518         -79.5            -0    403.589         -79.5            -0    403.124         -79.5            -0    403.841         -79.5            -0        395        132.79       2.88263        395       306.568       11.5534        395          73.6        3.4898        395       101.661        3.3695
104      3000        2    403.899         -79.5            -0    400.856         -79.5            -0    402.898         -79.5            -0    402.042         -79.5            -0    400.493         -79.5            -0    403.557         -79.5            -0    403.093         -79.5            -0    403.808         -79.5            -0        395       132.739       2.84613        395       306.907       11.3643        395        73.657       3.43774        395       101.641       3.32422
105      3030        2    403.869         -79.5            -0    400.834         -79.5            -0    402.868         -79.5            -0    402.016         -79.5            -0    400.469         -79.5            -0    403.524         -79.5            -0    403.064         -79.5            -0    403.776         -79.5            -0        395        132.69       2.81047        395       307.236       11.1803        395       73.7134       3.38663        395        101.62       3.28019
106      3060        2    403.839         -79.5            -0    400.812         -79.5            -0    402.839         -79.5            -0     401.99         -79.5            -0    400.445         -79.5            -0    403.493         -79.5            -0    403.035         -79.5            -0    403.745         -79.5            -0        395       132.645       2.77552        395       307.555       11.0017        395       73.7691       3.33664        395       101.599       3.23736
107      3090        2    403.809         -79.5            -0    400.791         -79.5            -0     402.81         -79.5            -0    401.965         -79.5            -0    400.422         -79.5            -0    403.462         -79.5            -0    403.006         -79.5            -0    403.714         -79.5            -0        395       132.601        2.7414        395       307.863       10.8278        395       73.8271       3.28806        395       101.577       3.19581
108      3120        2     403.78         -79.5            -0     400.77         -79.5            -0    402.781         -79.5            -0     401.94         -79.5            -0      400.4         -79.5            -0    403.432         -79.5            -0    402.978         -79.5            -0    403.684         -79.5            -0        395       132.557         2.708        395       308.156        10.658        395       73.8931       3.24095        395       101.553       3.15524
109      3150        2    403.751         -79.5            -0    400.749         -79.5            -0    402.753         -79.5            -0    401.916         -79.5            -0    400.377         -79.5            -0    403.402         -79.5            -0     402.95         -79.5            -0    403.654         -79.5            -0        395       132.522       2.67564        395       308.434       10.4924        395       73.9579       3.19473        395       101.529         3.116
110      3180        2    403.723         -79.5            -0    400.729         -79.5            -0    402.725         -79.5            -0    401.892         -79.5            -0    400.355         -79.5            -0    403.372         -79.5            -0    402.923         -79.5            -0    403.625         -79.5            -0        395        132.49       2.64385        395       308.705       10.3313        395       74.0203       3.14973        395       101.506       3.07773
111      3210        2    403.695         -79.5            -0    400.709         -79.5            -0    402.698         -79.5            -0    401.868         -79.5            -0    400.334         -79.5            -0    403.343         -79.5            -0    402.897         -79.5            -0    403.596         -79.5            -0        395       132.463        2.6128        395       308.963       10.1748        395       74.0772       3.10589        395       101.488       3.04059
112      3240        2    403.668         -79.5            -0    400.689         -79.5            -0    402.671         -79.5            -0    401.845         -79.5            -0    400.313         -79.5            -0    403.314         -79.5            -0     402.87         -79.5            -0    403.567         -79.5            -0        395       132.442       2.58235        395        309.21       10.0216        395       74.1295        3.0633        395       101.473        3.0043
113      3270        2     403.64         -79.5            -0     400.67         -79.5            -0    402.644         -79.5            -0    401.822         -79.5            -0    400.292         -79.5            -0    403.286         -79.5            -0    402.845         -79.5            -0    403.539         -79.5            -0        395       132.424       2.55238        395       309.451       9.87231        395       74.1785       3.02195        395       101.458       2.96881
114      3300        2    403.614         -79.5            -0    400.651         -79.5            -0    402.618         -79.5            -0      401.8         -79.5            -0    400.272         -79.5            -0    403.258         -79.5            -0    402.819         -79.5            -0    403.512         -79.5            -0        395       132.408       2.52301        395       309.687       9.72669        395       74.2249       2.98183        395       101.442       2.93419
115      3330        2    403.588         -79.5            -0    400.632         -79.5            -0    402.593         -79.5            -0    401.778         -79.5            -0    400.252         -79.5            -0    403.231         -79.5            -0    402.795         -79.5            -0    403.485         -79.5            -0        395       132.393       2.49421        395       309.917       9.58464        395       74.2693       2.94302        395       101.427       2.90053
116      3360        2    403.562         -79.5            -0    400.614         -79.5            -0    402.568         -79.5            -0    401.757         -79.5            -0    400.232         -79.5            -0    403.205         -79.5            -0     402.77         -79.5            -0    403.459         -79.5            -0        395       132.378       2.46611        395       310.143       9.44584        395       74.3116       2.90534        395       101.412       2.86765
117      3390        2    403.537         -79.5            -0    400.596         -79.5            -0    402.543         -79.5            -0    401.736         -79.5            -0    400.213         -79.5            -0    403.179         -79.5            -0    402.746         -79.5            -0    403.433         -79.5            -0        395       132.364        2.4386        395       310.364       9.30997        395       74.3522       2.86886        395       101.397       2.83551
118      3420        2    403.512         -79.5            -0    400.578         -79.5            -0    402.519         -79.5            -0    401.716         -79.5            -0    400.194         -79.5            -0    403.153         -79.5            -0    402.723         -79.5            -0    403.408         -79.5            -0        395       132.351       2.41165        395       310.581       9.17729        395        74.391       2.83347        395       101.383       2.80411
119      3450        2    403.488         -79.5            -0    400.561         -79.5            -0    402.495         -79.5            -0    401.696         -79.5            -0    400.176         -79.5            -0    403.128         -79.5            -0      402.7         -79.5            -0    403.383         -79.5            -0        395       132.337       2.38519        395       310.793       9.04853        395       74.4279        2.7992        395       101.367       2.77341
120      3480        2    403.464         -79.5            -0    400.544         -79.5            -0    402.472         -79.5            -0    401.676         -79.5            -0    400.158         -79.5            -0    403.103         -79.5            -0    402.678         -79.5            -0    403.359         -79.5            -0        395       132.321       2.35916        395       310.998        8.9242        395       74.4733       2.76629        395       101.349       2.74331
121      3510        2     403.44         -79.5            -0    400.527         -79.5            -0    402.448         -79.5            -0    401.657         -79.5            -0     400.14         -79.5            -0    403.078         -79.5            -0    402.655         -79.5            -0    403.335         -79.5            -0        395       132.304       2.33362        395       311.197       8.80271        395        74.519       2.73402        395        101.33       2.71386
122      3540        2    403.417         -79.5            -0    400.511         -79.5            -0    402.426         -79.5            -0    401.638         -79.5            -0    400.123         -79.5            -0    403.054         -79.5            -0    402.633         -79.5            -0    403.311         -79.5            -0        395       132.289       2.30856        395       311.391       8.68413        395       74.5638        2.7025        395       101.312       2.68511
123      3570        2    403.394         -79.5            -0    400.495         -79.5            -0    402.404         -79.5            -0    401.619         -79.5            -0    400.105         -79.5            -0    403.031         -79.5            -0    402.612         -79.5            -0    403.288         -79.5            -0        395       132.273       2.28395        395       311.577       8.56823        395       74.6065       2.67177        395       101.298       2.65729
124      3600        3    403.372         -79.5            -0    400.479         -79.5            -0    402.382         -79.5            -0      401.6         -79.5            -0    400.089         -79.5            -0    403.008         -79.5            -0    402.591         -79.5            -0    403.265         -79.5            -0        395       132.257       2.25979        395       311.757       8.45556        395       74.6476       2.64173        395       101.288        2.6301
